session_id,trial_id,repetition,label,sample,time_s,adc
20260914_141144_206684,1,1,REST,1807,1.807,1136
20260914_141144_206684,1,1,REST,1808,1.808,1122
20260914_141144_206684,1,1,REST,1809,1.809,1121
20260914_141144_206684,1,1,REST,1810,1.81,1123
20260914_141144_206684,1,1,REST,1811,1.811,1121
20260914_141144_206684,1,1,REST,1812,1.812,1121
20260914_141144_206684,1,1,REST,1813,1.813,1123
20260914_141144_206684,1,1,REST,1814,1.814,1118
20260914_141144_206684,1,1,REST,1815,1.815,1141
20260914_141144_206684,1,1,REST,1816,1.816,1137
20260914_141144_206684,1,1,REST,1817,1.817,1136
20260914_141144_206684,1,1,REST,1818,1.818,1153
20260914_141144_206684,1,1,REST,1819,1.819,1175
20260914_141144_206684,1,1,REST,1820,1.82,1150
20260914_141144_206684,1,1,REST,1821,1.821,1178
20260914_141144_206684,1,1,REST,1822,1.822,1155
20260914_141144_206684,1,1,REST,1823,1.823,1159
20260914_141144_206684,1,1,REST,1824,1.824,1151
20260914_141144_206684,1,1,REST,1825,1.825,1151
20260914_141144_206684,1,1,REST,1826,1.826,1143
20260914_141144_206684,1,1,REST,1827,1.827,1137
20260914_141144_206684,1,1,REST,1828,1.828,1131
20260914_141144_206684,1,1,REST,1829,1.829,1132
20260914_141144_206684,1,1,REST,1830,1.83,1133
20260914_141144_206684,1,1,REST,1831,1.831,1118
20260914_141144_206684,1,1,REST,1832,1.832,1121
20260914_141144_206684,1,1,REST,1833,1.833,1115
20260914_141144_206684,1,1,REST,1834,1.834,1117
20260914_141144_206684,1,1,REST,1835,1.835,1117
20260914_141144_206684,1,1,REST,1836,1.836,1125
20260914_141144_206684,1,1,REST,1837,1.837,1139
20260914_141144_206684,1,1,REST,1838,1.838,1149
20260914_141144_206684,1,1,REST,1839,1.839,1151
20260914_141144_206684,1,1,REST,1840,1.84,1151
20260914_141144_206684,1,1,REST,1841,1.841,1155
20260914_141144_206684,1,1,REST,1842,1.842,1156
20260914_141144_206684,1,1,REST,1843,1.843,1152
20260914_141144_206684,1,1,REST,1844,1.844,1148
20260914_141144_206684,1,1,REST,1845,1.845,1150
20260914_141144_206684,1,1,REST,1846,1.846,1146
20260914_141144_206684,1,1,REST,1847,1.847,1139
20260914_141144_206684,1,1,REST,1848,1.848,1134
20260914_141144_206684,1,1,REST,1849,1.849,1132
20260914_141144_206684,1,1,REST,1850,1.85,1135
20260914_141144_206684,1,1,REST,1851,1.851,1138
20260914_141144_206684,1,1,REST,1852,1.852,1115
20260914_141144_206684,1,1,REST,1853,1.853,1121
20260914_141144_206684,1,1,REST,1854,1.854,1152
20260914_141144_206684,1,1,REST,1855,1.855,1134
20260914_141144_206684,1,1,REST,1856,1.856,1136
20260914_141144_206684,1,1,REST,1857,1.857,1137
20260914_141144_206684,1,1,REST,1858,1.858,1150
20260914_141144_206684,1,1,REST,1859,1.859,1151
20260914_141144_206684,1,1,REST,1860,1.86,1143
20260914_141144_206684,1,1,REST,1861,1.861,1153
20260914_141144_206684,1,1,REST,1862,1.862,1157
20260914_141144_206684,1,1,REST,1863,1.863,1152
20260914_141144_206684,1,1,REST,1864,1.864,1154
20260914_141144_206684,1,1,REST,1865,1.865,1153
20260914_141144_206684,1,1,REST,1866,1.866,1139
20260914_141144_206684,1,1,REST,1867,1.867,1132
20260914_141144_206684,1,1,REST,1868,1.868,1125
20260914_141144_206684,1,1,REST,1869,1.869,1088
20260914_141144_206684,1,1,REST,1870,1.87,917
20260914_141144_206684,1,1,REST,1871,1.871,1123
20260914_141144_206684,1,1,REST,1872,1.872,1124
20260914_141144_206684,1,1,REST,1873,1.873,1118
20260914_141144_206684,1,1,REST,1874,1.874,1127
20260914_141144_206684,1,1,REST,1875,1.875,1130
20260914_141144_206684,1,1,REST,1876,1.876,1135
20260914_141144_206684,1,1,REST,1877,1.877,1136
20260914_141144_206684,1,1,REST,1878,1.878,1146
20260914_141144_206684,1,1,REST,1879,1.879,1147
20260914_141144_206684,1,1,REST,1880,1.88,1140
20260914_141144_206684,1,1,REST,1881,1.881,1159
20260914_141144_206684,1,1,REST,1882,1.882,1155
20260914_141144_206684,1,1,REST,1883,1.883,1168
20260914_141144_206684,1,1,REST,1884,1.884,1156
20260914_141144_206684,1,1,REST,1885,1.885,1158
20260914_141144_206684,1,1,REST,1886,1.886,1189
20260914_141144_206684,1,1,REST,1887,1.887,1137
20260914_141144_206684,1,1,REST,1888,1.888,1130
20260914_141144_206684,1,1,REST,1889,1.889,1126
20260914_141144_206684,1,1,REST,1890,1.89,1127
20260914_141144_206684,1,1,REST,1891,1.891,1122
20260914_141144_206684,1,1,REST,1892,1.892,1119
20260914_141144_206684,1,1,REST,1893,1.893,1123
20260914_141144_206684,1,1,REST,1894,1.894,1126
